"dp","U:0","U:1","U:2","T","T0","U0:0","U0:1","U0:2","p","p0","potential","rho","rho0","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.000184178352355957,-0.000331370974890888,-0.394915997982025,0,1.04975938796997,1.04999995231628,0,-0.394688338041306,0,0.749815821647644,0.75,0.935973227024078,0.999983549118042,1,1,0,2,0.5,0
-0.000173165796311421,-0.000355540832970291,-0.394911289215088,0,1.04974341392517,1.04999995231628,0,-0.394688338041306,0,0.749826848506927,0.75,0.935973227024078,1.00001358985901,1,1,0.0142999887466431,2,0.514299988746643,0
-0.000161504741504355,-0.000376436393707991,-0.394905388355255,0,1.04972946643829,1.04999995231628,0,-0.394688338041306,0,0.749838471412659,0.75,0.935973227024078,1.00004231929779,1,1,0.0285999774932861,2,0.528599977493286,0
-0.000149177902545142,-0.000393245136365294,-0.394897997379303,0,1.04971837997437,1.04999995231628,0,-0.394688338041306,0,0.749850809574127,0.75,0.935973227024078,1.00006926059723,1,1,0.042900025844574,2,0.542900025844574,0
-0.000136263361760021,-0.000406012928579003,-0.394889295101166,0,1.04971027374268,1.04999995231628,0,-0.394688338041306,0,0.749863743782043,0.75,0.935973227024078,1.00009429454803,1,1,0.057200014591217,2,0.557200014591217,0
-0.000122818339210074,-0.000414529407862574,-0.394879251718521,0,1.04970502853394,1.04999995231628,0,-0.394688338041306,0,0.749877154827118,0.75,0.935973227024078,1.00011718273163,1,1,0.0715000033378601,2,0.57150000333786,0
-0.000108821377905301,-0.000418377865571529,-0.394867807626724,0,1.0497031211853,1.04999995231628,0,-0.394688338041306,0,0.74989116191864,0.75,0.935973227024078,1.00013756752014,1,1,0.0857999920845032,2,0.585799992084503,0
-9.44304906216041e-005,-0.000418074690969661,-0.394855171442032,0,1.04970419406891,1.04999995231628,0,-0.394688338041306,0,0.749905586242676,0.75,0.935973227024078,1.00015580654144,1,1,0.100099980831146,2,0.600099980831146,0
-7.96651640120936e-005,-0.000412689754739404,-0.394841104745865,0,1.04970908164978,1.04999995231628,0,-0.394688338041306,0,0.749920308589935,0.75,0.935973227024078,1.00017094612122,1,1,0.114400029182434,2,0.614400029182434,0
-6.45601521762056e-005,-0.00040320074185729,-0.394825965166092,0,1.04971694946289,1.04999995231628,0,-0.394688338041306,0,0.749935448169708,0.75,0.935973227024078,1.00018346309662,1,1,0.128700017929077,2,0.628700017929077,0
-4.92572525786026e-005,-0.000389045133488253,-0.394809573888779,0,1.0497282743454,1.04999995231628,0,-0.394688338041306,0,0.749950766563416,0.75,0.935973227024078,1.00019311904907,1,1,0.14300000667572,2,0.64300000667572,0
-3.37010810566107e-005,-0.000370723369996995,-0.394792169332504,0,1.04974269866943,1.04999995231628,0,-0.394688338041306,0,0.749966323375702,0.75,0.935973227024078,1.00020015239716,1,1,0.157299995422363,2,0.657299995422363,0
-1.80936199604145e-005,-0.000348374247550964,-0.394773811101913,0,1.049760222435,1.04999995231628,0,-0.394688338041306,0,0.749981880187988,0.75,0.935973227024078,1.000204205513,1,1,0.171599984169006,2,0.671599984169006,0
-2.41044321231393e-006,-0.000322027335641906,-0.394754558801651,0,1.0497807264328,1.04999995231628,0,-0.394688338041306,0,0.749997615814209,0.75,0.935973227024078,1.00020563602448,1,1,0.185899972915649,2,0.685899972915649,0
1.32716066139331e-005,-0.000292403856292367,-0.394734561443329,0,1.04980361461639,1.04999995231628,0,-0.394688338041306,0,0.750013291835785,0.75,0.935973227024078,1.00020480155945,1,1,0.200200021266937,2,0.700200021266937,0
2.88426973056713e-005,-0.000259180174907669,-0.394713938236237,0,1.04982912540436,1.04999995231628,0,-0.394688338041306,0,0.750028848648071,0.75,0.935973227024078,1.00020122528076,1,1,0.21450001001358,2,0.71450001001358,0
4.43029172191479e-005,-0.000223327093408443,-0.394692838191986,0,1.04985642433167,1.04999995231628,0,-0.394688338041306,0,0.750044286251068,0.75,0.935973227024078,1.00019574165344,1,1,0.228799998760223,2,0.728799998760223,0
5.9537271404205e-005,-0.000184802978765219,-0.394671350717545,0,1.04988563060761,1.04999995231628,0,-0.394688338041306,0,0.750059545040131,0.75,0.935973227024078,1.0001882314682,1,1,0.243099987506866,2,0.743099987506866,0
7.45355908833123e-005,-0.000144229386933148,-0.394649684429169,0,1.04991626739502,1.04999995231628,0,-0.394688338041306,0,0.750074505805969,0.75,0.935973227024078,1.00017917156219,1,1,0.25739997625351,2,0.75739997625351,0
8.91423679013747e-005,-0.000101976947917137,-0.394627928733826,0,1.04994797706604,1.04999995231628,0,-0.394688338041306,0,0.750089168548584,0.75,0.935973227024078,1.00016844272614,1,1,0.271700024604797,2,0.771700024604797,0
0.000103354465764424,-5.84288573008962e-005,-0.39460626244545,0,1.0499804019928,1.04999995231628,0,-0.394688338041306,0,0.750103354454041,0.75,0.935973227024078,1.00015652179718,1,1,0.28600001335144,2,0.78600001335144,0
0.000117165437357008,-1.41471346069011e-005,-0.394584834575653,0,1.05001330375671,1.04999995231628,0,-0.394688338041306,0,0.750117182731628,0.75,0.935973227024078,1.00014364719391,1,1,0.300300002098084,2,0.800300002098084,0
0.000130410187916817,3.04815657727886e-005,-0.39456382393837,0,1.05004620552063,1.04999995231628,0,-0.394688338041306,0,0.750130414962769,0.75,0.935973227024078,1.00012981891632,1,1,0.314599990844727,2,0.814599990844727,0
0.000143100615138106,7.49523169361055e-005,-0.394543319940567,0,1.05007898807526,1.04999995231628,0,-0.394688338041306,0,0.750143110752106,0.75,0.935973227024078,1.00011563301086,1,1,0.32889997959137,2,0.82889997959137,0
0.00015518191568829,0.000118727453809697,-0.394523531198502,0,1.05011093616486,1.04999995231628,0,-0.394688338041306,0,0.750155210494995,0.75,0.935973227024078,1.00010120868683,1,1,0.343200027942657,2,0.843200027942657,0
0.000166594982147217,0.00016141397645697,-0.394504547119141,0,1.05014216899872,1.04999995231628,0,-0.394688338041306,0,0.750166594982147,0.75,0.935973227024078,1.0000866651535,1,1,0.357500016689301,2,0.857500016689301,0
0.000177229644559135,0.000202505645575002,-0.394486576318741,0,1.05017197132111,1.04999995231628,0,-0.394688338041306,0,0.750177204608917,0.75,0.935973227024078,1.00007247924805,1,1,0.371800005435944,2,0.871800005435944,0
0.000187154415481249,0.000241483692661859,-0.394469738006592,0,1.05020034313202,1.04999995231628,0,-0.394688338041306,0,0.750187158584595,0.75,0.935973227024078,1.00005877017975,1,1,0.386099994182587,2,0.886099994182587,0
0.000196275713873305,0.000278158055152744,-0.394454002380371,0,1.0502268075943,1.04999995231628,0,-0.394688338041306,0,0.750196278095245,0.75,0.935973227024078,1.0000456571579,1,1,0.40039998292923,2,0.90039998292923,0
0.000204517813883714,0.000311651732772589,-0.394439816474915,0,1.05025088787079,1.04999995231628,0,-0.394688338041306,0,0.750204503536224,0.75,0.935973227024078,1.00003373622894,1,1,0.414699971675873,2,0.914699971675873,0
0.000211930280931944,0.000342169165378436,-0.394426912069321,0,1.05027294158936,1.04999995231628,0,-0.394688338041306,0,0.750211954116821,0.75,0.935973227024078,1.00002264976501,1,1,0.429000020027161,2,0.929000020027161,0
0.000218377715272032,0.000368819775758311,-0.394415706396103,0,1.05029201507568,1.04999995231628,0,-0.394688338041306,0,0.750218391418457,0.75,0.935973227024078,1.00001299381256,1,1,0.443300008773804,2,0.943300008773804,0
0.000223941809146032,0.000391720968764275,-0.394406050443649,0,1.05030822753906,1.04999995231628,0,-0.394688338041306,0,0.750223934650421,0.75,0.935973227024078,1.00000488758087,1,1,0.457599997520447,2,0.957599997520447,0
0.000228497375107385,0.000410442939028144,-0.394398152828217,0,1.05032157897949,1.04999995231628,0,-0.394688338041306,0,0.750228524208069,0.75,0.935973227024078,0.999998331069946,1,1,0.47189998626709,2,0.97189998626709,0
0.000232074252071462,0.000424670113716275,-0.394392073154449,0,1.05033159255981,1.04999995231628,0,-0.394688338041306,0,0.750232100486755,0.75,0.935973227024078,0.999993562698364,1,1,0.486199975013733,2,0.986199975013733,0
0.000234723086862228,0.00043465883936733,-0.394387662410736,0,1.05033850669861,1.04999995231628,0,-0.394688338041306,0,0.750234723091125,0.75,0.935973227024078,0.999990463256836,1,1,0.500499963760376,2,1.00049996376038,0
0.000236227509773241,0.000439556722994894,-0.394385278224945,0,1.05034184455872,1.04999995231628,0,-0.394688338041306,0,0.750236213207245,0.75,0.935973227024078,0.999989449977875,1,1,0.514799952507019,2,1.01479995250702,0
0.000236847399926318,0.000440172996604815,-0.394384622573853,0,1.05034184455872,1.04999995231628,0,-0.394688338041306,0,0.750236868858337,0.75,0.935973227024078,0.999990165233612,1,1,0.529099941253662,2,1.02909994125366,0
0.000236327641682686,0.000435721623944119,-0.39438596367836,0,1.05033838748932,1.04999995231628,0,-0.394688338041306,0,0.750236332416534,0.75,0.935973227024078,0.999992847442627,1,1,0.543400049209595,2,1.04340004920959,0
0.000234891760631502,0.000426823477027938,-0.394389092922211,0,1.0503317117691,1.04999995231628,0,-0.394688338041306,0,0.75023490190506,0.75,0.935973227024078,0.99999725818634,1,1,0.557700037956238,2,1.05770003795624,0
0.000232362752592513,0.0004133298934903,-0.394394040107727,0,1.05032157897949,1.04999995231628,0,-0.394688338041306,0,0.750232338905334,0.75,0.935973227024078,1.00000357627869,1,1,0.572000026702881,2,1.07200002670288,0
0.00022886098006723,0.000395328330341727,-0.394400864839554,0,1.05030822753906,1.04999995231628,0,-0.394688338041306,0,0.750228881835938,0.75,0.935973227024078,1.00001156330109,1,1,0.586300015449524,2,1.08630001544952,0
0.000224428183928473,0.000373373855836689,-0.39440929889679,0,1.05029201507568,1.04999995231628,0,-0.394688338041306,0,0.750224411487579,0.75,0.935973227024078,1.00002110004425,1,1,0.600600004196167,2,1.10060000419617,0
0.000218909985829903,0.00034710334148258,-0.394419521093369,0,1.05027270317078,1.04999995231628,0,-0.394688338041306,0,0.75021892786026,0.75,0.935973227024078,1.00003206729889,1,1,0.61489999294281,2,1.11489999294281,0
0.0002125048703897,0.000317501573590562,-0.394431233406067,0,1.05025088787079,1.04999995231628,0,-0.394688338041306,0,0.750212490558624,0.75,0.935973227024078,1.00004422664642,1,1,0.629199981689453,2,1.12919998168945,0
0.000205126411370322,0.000284306501271203,-0.394444555044174,0,1.05022668838501,1.04999995231628,0,-0.394688338041306,0,0.750205099582672,0.75,0.935973227024078,1.00005757808685,1,1,0.643499970436096,2,1.1434999704361,0
0.000196874147377463,0.000248311029281467,-0.394459187984467,0,1.05020022392273,1.04999995231628,0,-0.394688338041306,0,0.750196874141693,0.75,0.935973227024078,1.00007176399231,1,1,0.657799959182739,2,1.15779995918274,0
0.000187758212181284,0.000209737496334128,-0.394475132226944,0,1.05017197132111,1.04999995231628,0,-0.394688338041306,0,0.750187754631042,0.75,0.935973227024078,1.00008654594421,1,1,0.672099947929382,2,1.17209994792938,0
0.000177774401809376,0.000169009465025738,-0.394492238759995,0,1.05014204978943,1.04999995231628,0,-0.394688338041306,0,0.750177800655365,0.75,0.935973227024078,1.00010168552399,1,1,0.686400055885315,2,1.18640005588531,0
0.000167049171444661,0.000126711602206342,-0.394510328769684,0,1.05011105537415,1.04999995231628,0,-0.394688338041306,0,0.750167071819305,0.75,0.935973227024078,1.00011682510376,1,1,0.700700044631958,2,1.20070004463196,0
0.000155478715896606,8.31249708426185e-005,-0.394529402256012,0,1.05007910728455,1.04999995231628,0,-0.394688338041306,0,0.750155448913574,0.75,0.935973227024078,1.00013196468353,1,1,0.715000033378601,2,1.2150000333786,0
0.000143298504676179,3.89031520171557e-005,-0.394549131393433,0,1.0500465631485,1.04999995231628,0,-0.394688338041306,0,0.75014328956604,0.75,0.935973227024078,1.00014662742615,1,1,0.729300022125244,2,1.22930002212524,0
0.0001304054215916,-5.53856261831243e-006,-0.394569545984268,0,1.05001389980316,1.04999995231628,0,-0.394688338041306,0,0.750130414962769,0.75,0.935973227024078,1.00016057491302,1,1,0.743600010871887,2,1.24360001087189,0
0.000116920464370189,-4.97030050610192e-005,-0.39459040760994,0,1.04998135566711,1.04999995231628,0,-0.394688338041306,0,0.750116944313049,0.75,0.935973227024078,1.00017356872559,1,1,0.75789999961853,2,1.25789999961853,0
0.000102866878439718,-9.30727037484758e-005,-0.394611537456512,0,1.04994928836823,1.04999995231628,0,-0.394688338041306,0,0.750102877616882,0.75,0.935973227024078,1.00018548965454,1,1,0.772199988365173,2,1.27219998836517,0
8.83459922647373e-005,-0.000135171765577979,-0.394632905721664,0,1.04991805553436,1.04999995231628,0,-0.394688338041306,0,0.750088334083557,0.75,0.935973227024078,1.00019586086273,1,1,0.786499977111816,2,1.28649997711182,0
7.34090651576336e-005,-0.000175641282112338,-0.394654244184494,0,1.04988789558411,1.04999995231628,0,-0.394688338041306,0,0.750073432922363,0.75,0.935973227024078,1.00020444393158,1,1,0.800799965858459,2,1.30079996585846,0
5.80060960499377e-005,-0.000213775885640644,-0.394675463438034,0,1.04985952377319,1.04999995231628,0,-0.394688338041306,0,0.750057995319366,0.75,0.935973227024078,1.00021123886108,1,1,0.815099954605103,2,1.3150999546051,0
4.23813964426837e-005,-0.000249565724516287,-0.394696474075317,0,1.04983246326447,1.04999995231628,0,-0.394688338041306,0,0.750042378902435,0.75,0.935973227024078,1.00021588802338,1,1,0.829399943351746,2,1.32939994335175,0
2.64310596344101e-005,-0.000282123510260135,-0.394717007875443,0,1.04980790615082,1.04999995231628,0,-0.394688338041306,0,0.750026404857636,0.75,0.935973227024078,1.00021827220917,1,1,0.843700051307678,2,1.34370005130768,0
1.03592604034219e-005,-0.000311567942844704,-0.394737064838409,0,1.04978537559509,1.04999995231628,0,-0.394688338041306,0,0.750010371208191,0.75,0.935973227024078,1.00021815299988,1,1,0.858000040054321,2,1.35800004005432,0
-5.89671736466337e-006,-0.000337310659233481,-0.394756436347961,0,1.04976546764374,1.04999995231628,0,-0.394688338041306,0,0.749994099140167,0.75,0.935973227024078,1.00021553039551,1,1,0.872300028800964,2,1.37230002880096,0
-2.21765367064419e-005,-0.000359140016371384,-0.394775062799454,0,1.04974830150604,1.04999995231628,0,-0.394688338041306,0,0.749977827072144,0.75,0.935973227024078,1.00021028518677,1,1,0.886600017547607,2,1.38660001754761,0
-3.84509914454494e-005,-0.000377054995624349,-0.394792854785919,0,1.04973387718201,1.04999995231628,0,-0.394688338041306,0,0.74996155500412,0.75,0.935973227024078,1.00020229816437,1,1,0.90090000629425,2,1.40090000629425,0
-5.46145815167524e-005,-0.000390371860703453,-0.394809633493423,0,1.04972267150879,1.04999995231628,0,-0.394688338041306,0,0.749945402145386,0.75,0.935973227024078,1.00019145011902,1,1,0.915199995040894,2,1.41519999504089,0
-7.0610682294652e-005,-0.000399691401980817,-0.394825458526611,0,1.04971420764923,1.04999995231628,0,-0.394688338041306,0,0.749929368495941,0.75,0.935973227024078,1.00017809867859,1,1,0.929499983787537,2,1.42949998378754,0
-8.64218776495425e-005,-0.000404123275075108,-0.394840061664581,0,1.04970932006836,1.04999995231628,0,-0.394688338041306,0,0.749913573265076,0.75,0.935973227024078,1.00016164779663,1,1,0.94379997253418,2,1.44379997253418,0
-0.000101960216517715,-0.000404372054617852,-0.394853562116623,0,1.04970729351044,1.04999995231628,0,-0.394688338041306,0,0.749898016452789,0.75,0.935973227024078,1.00014281272888,1,1,0.958099961280823,2,1.45809996128082,0
-0.000117123047402781,-0.000400060671381652,-0.394865810871124,0,1.04970860481262,1.04999995231628,0,-0.394688338041306,0,0.749882876873016,0.75,0.935973227024078,1.00012147426605,1,1,0.972399950027466,2,1.47239995002747,0
-0.000131919430443803,-0.000391385314287618,-0.394876807928085,0,1.04971277713776,1.04999995231628,0,-0.394688338041306,0,0.749868094921112,0.75,0.935973227024078,1.00009763240814,1,1,0.986700057983398,2,1.4867000579834,0
-0.000146228121354896,-0.000378670665668324,-0.394886642694473,0,1.04972016811371,1.04999995231628,0,-0.394688338041306,0,0.749853789806366,0.75,0.935973227024078,1.00007164478302,1,1,1.00100004673004,2,1.50100004673004,0
-0.000159995007281327,-0.000361644226359203,-0.394895046949387,0,1.0497305393219,1.04999995231628,0,-0.394688338041306,0,0.749840021133423,0.75,0.935973227024078,1.0000433921814,1,1,1.01530003547668,2,1.51530003547668,0
-0.000173203992993695,-0.000341166538419202,-0.394902259111404,0,1.04974329471588,1.04999995231628,0,-0.394688338041306,0,0.749826788902283,0.75,0.935973227024078,1.00001347064972,1,1,1.02960002422333,2,1.52960002422333,0
-0.000185714410791365,-0.000316824676701799,-0.394908100366592,0,1.0497590303421,1.04999995231628,0,-0.394688338041306,0,0.74981427192688,0.75,0.935973227024078,0.999981939792633,1,1,1.04390001296997,2,1.54390001296997,0
-0.000197609709734978,-0.000289517774945125,-0.394912779331207,0,1.04977679252625,1.04999995231628,0,-0.394688338041306,0,0.74980241060257,0.75,0.935973227024078,0.999949157238007,1,1,1.05820000171661,2,1.55820000171661,0
-0.000208735421949726,-0.000259281776379794,-0.394916176795959,0,1.04979658126831,1.04999995231628,0,-0.394688338041306,0,0.749791264533997,0.75,0.935973227024078,0.999915361404419,1,1,1.07249999046326,2,1.57249999046326,0
-0.000219061334419128,-0.000226594187552109,-0.394918441772461,0,1.04981827735901,1.04999995231628,0,-0.394688338041306,0,0.74978095293045,0.75,0.935973227024078,0.999880850315094,1,1,1.0867999792099,2,1.5867999792099,0
-0.000228610004764927,-0.000191936822375283,-0.394919604063034,0,1.04984164237976,1.04999995231628,0,-0.394688338041306,0,0.749771416187286,0.75,0.935973227024078,0.999846041202545,1,1,1.10109996795654,2,1.60109996795654,0
-0.000237249105645076,-0.000155561909195967,-0.394919633865356,0,1.04986608028412,1.04999995231628,0,-0.394688338041306,0,0.749762773513794,0.75,0.935973227024078,0.999811172485352,1,1,1.11539995670319,2,1.61539995670319,0
-0.000245054337644294,-0.000118129028123803,-0.394918739795685,0,1.04989147186279,1.04999995231628,0,-0.394688338041306,0,0.749754965305328,0.75,0.935973227024078,0.999776601791382,1,1,1.12969994544983,2,1.62969994544983,0
-0.000251865418511018,-7.99303597887047e-005,-0.394916832447052,0,1.0499175786972,1.04999995231628,0,-0.394688338041306,0,0.749748110771179,0.75,0.935973227024078,0.999742686748505,1,1,1.14400005340576,2,1.64400005340576,0
-0.00025777700470715,-4.15316098951735e-005,-0.394914090633392,0,1.04994380474091,1.04999995231628,0,-0.394688338041306,0,0.749742209911346,0.75,0.935973227024078,0.999709784984589,1,1,1.1583000421524,2,1.6583000421524,0
-0.000262677692262536,-3.39038069796516e-006,-0.394910573959351,0,1.04997003078461,1.04999995231628,0,-0.394688338041306,0,0.749737322330475,0.75,0.935973227024078,0.999678313732147,1,1,1.17260003089905,2,1.67260003089905,0
-0.000266569255908574,3.40472397510894e-005,-0.394906371831894,0,1.04999589920044,1.04999995231628,0,-0.394688338041306,0,0.749733448028564,0.75,0.935973227024078,0.999648451805115,1,1,1.18690001964569,2,1.68690001964569,0
-0.000269479745675193,7.03593395883217e-005,-0.394901543855667,0,1.05002105236053,1.04999995231628,0,-0.394688338041306,0,0.74973052740097,0.75,0.935973227024078,0.99962055683136,1,1,1.20120000839233,2,1.70120000839233,0
-0.00027136802332279,0.000104975784779526,-0.39489620923996,0,1.05004525184631,1.04999995231628,0,-0.394688338041306,0,0.749728620052338,0.75,0.935973227024078,0.999595105648041,1,1,1.21549999713898,2,1.71549999713898,0
-0.000272264478999203,0.00013776273408439,-0.394890427589417,0,1.05006814002991,1.04999995231628,0,-0.394688338041306,0,0.749727725982666,0.75,0.935973227024078,0.999571979045868,1,1,1.22979998588562,2,1.72979998588562,0
-0.000272078515577051,0.000167876874911599,-0.394884198904037,0,1.05008947849274,1.04999995231628,0,-0.394688338041306,0,0.7497279047966,0.75,0.935973227024078,0.999552071094513,1,1,1.24409997463226,2,1.74409997463226,0
-0.000270946028747406,0.000195441214600578,-0.394877761602402,0,1.05010902881622,1.04999995231628,0,-0.394688338041306,0,0.749729037284851,0.75,0.935973227024078,0.999534964561462,1,1,1.25839996337891,2,1.75839996337891,0
-0.000268746619771042,0.000219784677028656,-0.394871056079865,0,1.0501264333725,1.04999995231628,0,-0.394688338041306,0,0.749731242656708,0.75,0.935973227024078,0.999521315097809,1,1,1.27269995212555,2,1.77269995212555,0
-0.00026551485658502,0.000240794019191526,-0.394864231348038,0,1.05014169216156,1.04999995231628,0,-0.394688338041306,0,0.749734461307526,0.75,0.935973227024078,0.999511063098907,1,1,1.28699994087219,2,1.78699994087219,0
-0.00026139375168324,0.000258282118011266,-0.394857287406921,0,1.05015456676483,1.04999995231628,0,-0.394688338041306,0,0.74973863363266,0.75,0.935973227024078,0.999504327774048,1,1,1.30130004882813,2,1.80130004882813,0
-0.000256216513099758,0.000271740689640865,-0.394850313663483,0,1.05016481876373,1.04999995231628,0,-0.394688338041306,0,0.749743759632111,0.75,0.935973227024078,0.999501466751099,1,1,1.31560003757477,2,1.81560003757477,0
-0.000250263221273606,0.000281592918327078,-0.394843369722366,0,1.05017256736755,1.04999995231628,0,-0.394688338041306,0,0.749749720096588,0.75,0.935973227024078,0.999502122402191,1,1,1.32990002632141,2,1.82990002632141,0
-0.000243189342372723,0.000286911556031555,-0.394836455583572,0,1.05017721652985,1.04999995231628,0,-0.394688338041306,0,0.749756813049316,0.75,0.935973227024078,0.999507069587708,1,1,1.34420001506805,2,1.84420001506805,0
-0.000235334045484598,0.000288463779725134,-0.39482969045639,0,1.05017936229706,1.04999995231628,0,-0.394688338041306,0,0.749764680862427,0.75,0.935973227024078,0.999515354633331,1,1,1.3585000038147,2,1.8585000038147,0
-0.000226602560460384,0.000285706948488951,-0.394823014736176,0,1.05017864704132,1.04999995231628,0,-0.394688338041306,0,0.749773383140564,0.75,0.935973227024078,0.999527752399445,1,1,1.37279999256134,2,1.87279999256134,0
-0.000217100982800394,0.000278951483778656,-0.394816488027573,0,1.05017530918121,1.04999995231628,0,-0.394688338041306,0,0.749782919883728,0.75,0.935973227024078,0.9995436668396,1,1,1.38709998130798,2,1.88709998130798,0
-0.000206841234002017,0.000268315779976547,-0.394810110330582,0,1.05016911029816,1.04999995231628,0,-0.394688338041306,0,0.749793171882629,0.75,0.935973227024078,0.999563157558441,1,1,1.40139997005463,2,1.90139997005463,0
-0.000195812584859711,0.000253665581112728,-0.394803911447525,0,1.05016028881073,1.04999995231628,0,-0.394688338041306,0,0.749804198741913,0.75,0.935973227024078,0.999586284160614,1,1,1.41569995880127,2,1.91569995880127,0
-0.000184178352355957,0.000235716550378129,-0.39479786157608,0,1.05014932155609,1.04999995231628,0,-0.394688338041306,0,0.749815821647644,0.75,0.935973227024078,0.999612271785736,1,1,1.42999994754791,2,1.92999994754791,0
